ID,Приоритет,Модуль,Название,Предусловия,Тестовые данные,Шаги,Ожидаемый результат,Комментарий
Функциональные проверки,,,,,,,,
T-1,High,Форма авторизации,Успешная авторизация пользователя по валидным данным,"1. Открыт сайт;
2. Открыта форма авторизации пользователя.","1. Поле ""Логин"" - denis12323; 
2. Поле ""Пароль"" - qwerty12345.","1. Ввести значение из тестовых данных в поле ""Логин"";",Пользователь авторизован в систему. Отображен личный кабинет пользователя.,
,,,,,,"2. Ввести значение из тестовых данных поле ""Пароль"";",,
,,,,,,"3. Нажать кнопку ""Sign in"".",,
T-2,High,Форма авторизации,Неуспешная авторизация путем ввода невалидного логина,"1. Открыт сайт ;
2. Открыта форма авторизации 
пользователя.","1. Поле ""Логин"" - denis;
2. Поле ""Пароль"" - qwerty12345.","1. Ввести значение из тестовых данных в поле ""Логин"";",Пользователь не авторизован в систему. Отображается окно с ошибкой ввода данных.,
,,,,,,"2. Ввести значение из тестовых данных поле ""Пароль"";",,
,,,,,,"3. Нажать кнопку ""Sign in"".",,
T-3,High,Форма авторизации,Неуспешная авторизация путем ввода невалидного пароля,"1. Открыт сайт;
2. Открыта форма авторизации 
пользователя.","1. Поле ""Логин"" - denis12323;
2. Поле ""Пароль"" - qazwsxedc.","1. Ввести значение из тестовых данных в поле ""Логин"";",Пользователь не авторизован в систему. Отображается окно с ошибкой ввода данных.,
,,,,,,"2. Ввести значение из тестовых данных поле ""Пароль"";",,
,,,,,,"3. Нажать кнопку ""Sign in"".",,
T-4,High,Форма авторизации,Неуспешная авторизация при пустых полях логина пароля,"1. Открыт сайт;
2. Открыта форма авторизации 
пользователя.","1. Поле ""Логин"" - не заполняется;
2. Поле ""Пароль"" - не заполняется.","1. Нажать кнопку """"Sign in"".","Пользователь не авторизован в систему. Под формой авторизации пользователя появляется надпись красного цвета: ""Пожалуйста, заполните все обязательные поля"".",
T-5,High,Форма авторизации,Неуспешная авторизация заблокированного пользователя,"1. Открыт сайт;
2. Открыта форма авторизации 
пользователя.","1. Заблокированный пользователь - Sasha;
2. Поле ""Логин"" - Sasha123;
3. Поле ""Пароль"" - 123456789.","1. Ввести значение из тестовых данных в поле ""Логин"";","Пользователь не авторизован в систему. Отображается окно с информацией о том, что пользователь заблокирован и необходимо зарегистрировать нового пользователя.",
,,,,,,"2. Ввести значение из тестовых данных поле ""Пароль"";",,
,,,,,," 3. Нажать кнопку ""Sign in"".",,
T-6,High,Форма авторизации,Восстановление пароля на форме авторизации,"1. Открыт сайт;
2. Открыта форма авторизации 
пользователя.","1. Поле ""Логин"" - denis12323;
2. Поле ""Пароль"" - qazwsxedc.","1. Ввести значение из тестовых данных в поле ""Логин"";",Отображается поле для восстановления забытого пароля.,
,,,,,,"2. Ввести значение из тестовых данных поле ""Пароль"";",,
,,,,,,"3. Нажать кнопку ""Sign in"";",,
,,,,,,"4. Нажать кнопку ""Забыли пароль?"".",,
T-7,Medium,Форма авторизации,"Кнопка ""Оставаться в системе""","1. Открыт сайт;
2. Введены корректные данные в форма авторизации для входа.","1. Кнопка ""Оставаться в системе"".","1. Активировать кнопку ""Оставаться в системе"";",Отображается сайт с активированным аккаунтом пользователя.,
,,,,,,"2. Нажать кнопку ""Sign in"";",,
,,,,,,3. Закрыть окно браузера;,,
,,,,,,4. Открыть сайт.,,
Т-8,Medium,Форма авторизации,"Отображение кнопки 
""Создать аккаунт""","1. Открыт сайт;
2. Введены некорректные данные в форма авторизации для входа.","1. Поле ""Логин"" - denis;
2. Поле ""Пароль"" - qwerty12345.","1. Нажать кнопку ""Sign in"".","Пользователь не авторизован в систему. Подсвечивается кнопка ""Создать аккаунт"".",
Т-9,Medium,Форма авторизации,"Создание пользователя на форме авторизации 
(отказ от авторизации незарегистрированного пользователя)","1. Введены некорректные данные в форма авторизации для входа;
2. Нажата кнопка ""Sign in"".","1. Кнопка ""Создать аккаунт""","1. Нажать кнопку ""Создать аккаунт"".",Отображается окно для создания нового пользователя.,
T-10,High,Форма авторизации,Скрытие пароля,"1. Открыт сайт;
2. Открыта форма авторизации 
пользователя.","1. Поле - ""Пароль"".","1. Ввести рандомные данные  в поле ""Пароль"".","При вводе в поле ""Пароль"" данные скрываются точками для безопасности (или значение пароля должно быть в замаскированном виде).",
,,,,,,,,
,,,,,,,,
